category,field,value
split,test_rows,79441
split,train_rows,635522
split,validation_rows,79440
residualization,training_rows,"five-fold out-of-fold nuisance predictions; KFold(n_splits=5, shuffle=True, random_state=42)"
residualization,validation_and_test_rows,predictions from one nuisance model fitted only on the complete training partition
confounds,variables,selfies_len_tokens; branch_token_count; ring_token_count; token_entropy
linear_model,model,StandardScaler inputs + multi-output LinearRegression
nonlinear_model,activation,relu
nonlinear_model,batch_size,1024
nonlinear_model,early_stopping,True
nonlinear_model,final_train_only_seed,47
nonlinear_model,fold_seed_rule,42 + fold index
nonlinear_model,hidden_layer_sizes,64; 32
nonlinear_model,learning_rate_init,0.001
nonlinear_model,max_iter,75
nonlinear_model,n_iter_no_change,8
nonlinear_model,preprocessing,StandardScaler inputs and StandardScaler targets
nonlinear_model,regressor,multi-output MLPRegressor
nonlinear_model,solver,adam
nonlinear_model,validation_fraction,0.1
heldout_audit,probe_fit_split,fixed validation partition only
heldout_audit,probe_evaluation_split,fixed test partition only
heldout_audit,leakage_note,The residual-predictability probe never fits on test rows. Both validation and test residuals were generated by a nuisance model fitted only to the original train partition.
